Grantee,Disaster Type,Disbursement_Velocity,Disbursement_TV_Mean,Disbursement_TV_Std,Disbursement_TV_Count,Disbursement_TV_Min,Disbursement_TV_Max,Disbursement_TV_Lag1_Mean,Disbursement_TV_Lag1_Std,Disbursement_TV_Lag1_Count
Alabama,2011 Multiple Disasters,0.029327667471009837,2.785504719136001,4.273996003370951,34,-3.834201749588954,16.16897947079311,2.869903215769311,4.311395711588476,33
Alabama,2011-2013 Hurricane Sandy and Other Events,0.028323991993143234,2.7004675301452026,5.759959315655413,35,-4.358100550737742,18.362200906825997,2.7761470611896515,5.828890608682185,34
Alabama,"2020 Hurricanes Laura, Delta and Zeta (LDZ)/2021 Hurricane Ida and Wildfires (IDF)",0.07504858291832725,7.441705189326813,10.58175776342285,10,-1.3198604227392166,30.9435745338412,7.835490278601709,11.145662685466858,9
Alaska,2018 Disasters,0.05011598493184335,5.0115984931843345,7.506330636394794,12,-1.439625501211126,25.983612721909395,5.25154526457986,7.824290178936717,11
Alaska,2022 Disasters including Hurricanes Fiona and Ian,0.0011517132985218092,0.11517132985218093,0.08590466561910981,2,0.05442755825734551,0.17591510144701633,0.17591510144701633,,1
American Samoa,2018 Disasters,0.0021944531322664056,0.21944531322664076,11.404155135966736,7,-25.015763357784625,7.663886453405097,0.21943652068232153,12.492626034488762,6
Arkansas,2008 Hurricane Ike and Other Events,0.02028297079284323,2.023555731064809,3.0151276254846393,48,-0.13516411749206966,12.480942180425881,2.066471592777773,3.03286960652082,47
"Baton Rouge, LA","2020 Hurricanes Laura, Delta and Zeta (LDZ)/2021 Hurricane Ida and Wildfires (IDF)",0.05197067500000001,5.197067500000001,,1,5.197067500000001,5.197067500000001,,,0
California,2013 National Disaster Resilience,0.0312540301700349,3.0893085839214742,3.6183568938303794,30,-3.9417976620365587,14.852077171712374,3.1886557043002863,3.6405254817803927,29
California,2015-2018 Mitigation,0.011269349100478237,1.1269349100478236,4.061732227801764,17,-7.518362029517581,7.746660810734463,1.0560547045951334,4.1840663640929625,16
California,"2017 Hurricanes Harvey, Irma and Maria",0.030070813342523935,2.6562685153692778,13.55487065311249,20,-21.91704923973706,36.478002249999996,2.6809539116669923,13.925843860106632,19
California,2018 Disasters,0.014006928445942644,1.4006928445942644,13.166330156764282,16,-29.470824677335926,33.40024665837945,1.2968081516806114,13.621657282988169,15
California,"2020 Hurricanes Laura, Delta and Zeta (LDZ)/2021 Hurricane Ida and Wildfires (IDF)",0.006964042260973447,0.6961730494739382,0.7751710241879478,8,0.099332720596186,2.414503333895345,0.6421914320081807,0.8208781858298526,7
California,"Storms, Flooding, and Other Disasters in California, Alabama, and Georgia",0.0005653621915807412,0.05653621915807412,,1,0.05653621915807412,0.05653621915807412,,,0
