Measure,N_Total,N_Variation,Pct_Variation,N_Zero_Variance,Pct_Zero_Variance,N_Missing,Pct_Missing,Mean_Std_Within_Unit,Median_Std_Within_Unit,Mean_Range,Overall_Mean,Overall_Std,Overall_Min,Overall_Max
Disbursement_Velocity_pp_lag1,151,139,92.05298013245033,0,0.0,12,7.9470198675496695,11.23388169600173,7.120666979744613,51.83191050056523,1.7844992577057615,22.63911878895568,-785.2827649638319,819.3088777626499
Expenditure_Velocity_pp_lag1,151,134,88.74172185430463,5,3.3112582781456954,12,7.9470198675496695,14.406011929471768,7.570569079860929,78.34660608430757,1.4835139619447881,48.30130018951034,-1019.1955273338427,1933.4591
Capacity_Velocity_Index_pp_lag1,151,139,92.05298013245033,0,0.0,12,7.9470198675496695,12.095324598278413,7.623625992755246,62.046243685326,1.6340066098252746,31.099290354116032,-799.3533509853942,966.72955
