model,variable,HR,HR_Lower,HR_Upper,p_value,concordance,n_obs,n_events
capacity_only,Ratio_disbursed_to_obligated_lag1,1.0666622880437726,0.8372528476023913,1.3589305070660076,0.6014458980368493,0.6381241250583295,3401,33
capacity_only,Ratio_expended_to_disbursed_lag1,1.000020829394914,0.9773718018321984,1.0231947119294784,0.998578121798663,0.6381241250583295,3401,33
full_covariates,Ratio_disbursed_to_obligated_lag1,1.0669095676178226,0.8369333115542776,1.3600797217170235,0.6010620919212899,0.7234825370616318,3391,33
full_covariates,Ratio_expended_to_disbursed_lag1,1.0000261788994231,0.9773742252437855,1.0232031218489919,0.9982131774272759,0.7234825370616318,3391,33
full_covariates,Government_Type_State,1.009133579446299,0.8196140556580048,1.2424757410346565,0.9317287083338734,0.7234825370616318,3391,33
full_covariates,Prior_Grant_Count,1.001920012734055,0.9170925458917145,1.0945936878605247,0.9661014476033054,0.7234825370616318,3391,33
full_covariates,Prior_Grant_Dollars_log,1.001610351680767,0.9910693177445823,1.0122635002737719,0.7656343804696248,0.7234825370616318,3391,33
full_covariates,Disaster_Year,1.0015234408992553,0.9752331780242758,1.0285224347091646,0.9106933193298347,0.7234825370616318,3391,33
full_covariates,Population_log,0.9968007065095569,0.9469395640420715,1.049287289525276,0.9025877946028102,0.7234825370616318,3391,33
velocity_pp_only_lag1,Disbursement_Velocity_pp_lag1,0.9999167187304554,0.9951726034130326,1.004683449853486,0.9726187936604317,0.4046798736721217,3301,33
velocity_pp_only_lag1,Expenditure_Velocity_pp_lag1,0.9999688803069209,0.9977395453360156,1.0022031964720022,0.9781972771553604,0.4046798736721217,3301,33
velocity_pp_full_lag1,Disbursement_Velocity_pp_lag1,0.9999165004763028,0.9951585439618661,1.0046972052757546,0.9726270884483351,0.6859388458225667,3293,33
velocity_pp_full_lag1,Expenditure_Velocity_pp_lag1,0.9999687236102469,0.9977379646303858,1.0022044701577888,0.9781015233545497,0.6859388458225667,3293,33
velocity_pp_full_lag1,Government_Type_State,1.0097699472134196,0.8180675160125105,1.2463951035061014,0.9278788438748232,0.6859388458225667,3293,33
velocity_pp_full_lag1,Prior_Grant_Count,1.002022659373885,0.9152496346411578,1.0970224645786073,0.9651250209604418,0.6859388458225667,3293,33
velocity_pp_full_lag1,Prior_Grant_Dollars_log,1.0016692133366936,0.9909582407355588,1.0124959576518582,0.7610771474001724,0.6859388458225667,3293,33
velocity_pp_full_lag1,Disaster_Year,1.001543554745367,0.9751029156542933,1.0287011513845323,0.9100375985785387,0.6859388458225667,3293,33
velocity_pp_full_lag1,Population_log,0.9967163776985435,0.946250473814261,1.0498737544278451,0.9012607240172994,0.6859388458225667,3293,33
velocity_index_scaled_only_lag1,Capacity_Velocity_Index_pp_lag1_scaled,0.9981450338396717,0.8961746815080056,1.1117179821486616,0.9730609632803253,0.4031725523973586,3301,33
velocity_index_scaled_full_lag1,Capacity_Velocity_Index_pp_lag1_scaled,0.9981371463761441,0.8960186672565912,1.1118939809884676,0.9729879977229193,0.6879127189204709,3293,33
velocity_index_scaled_full_lag1,Government_Type_State,1.0097697414896296,0.8180673339458534,1.246394873035624,0.927880357464884,0.6879127189204709,3293,33
velocity_index_scaled_full_lag1,Prior_Grant_Count,1.0020226927399087,0.9152496915205207,1.0970224694615216,0.965124435505653,0.6879127189204709,3293,33
velocity_index_scaled_full_lag1,Prior_Grant_Dollars_log,1.0016692514521963,0.9909582789804444,1.0124959956307131,0.7610718505497033,0.6879127189204709,3293,33
velocity_index_scaled_full_lag1,Disaster_Year,1.0015435103770056,0.9751028958652612,1.0287010811184187,0.9100400911383584,0.6879127189204709,3293,33
velocity_index_scaled_full_lag1,Population_log,0.9967157795623806,0.9462499263620675,1.0498731017586564,0.9012427598196593,0.6879127189204709,3293,33
velocity_pp_only_lag0,Disbursement_Velocity_pp_lag0,1.0000140610798722,0.9952752569301364,1.0047754280981345,0.9953706968305832,0.5764965546942291,3452,33
velocity_pp_only_lag0,Expenditure_Velocity_pp_lag0,0.999993210993294,0.9977638801886013,1.0022275228520572,0.9952429330941714,0.5764965546942291,3452,33
velocity_pp_full_lag0,Disbursement_Velocity_pp_lag0,1.0000150693005205,0.9952625128823579,1.0047903200251758,0.9950531539253236,0.6934575078954924,3442,33
velocity_pp_full_lag0,Expenditure_Velocity_pp_lag0,0.9999929303080738,0.9977621774220717,1.002228670613474,0.9950494211674875,0.6934575078954924,3442,33
velocity_pp_full_lag0,Government_Type_State,1.009374781114856,0.8212424908099998,1.2406048885095722,0.9293472713571214,0.6934575078954924,3442,33
velocity_pp_full_lag0,Prior_Grant_Count,1.0019421066889065,0.9176031509192346,1.0940328443189535,0.9655036685829608,0.6934575078954924,3442,33
velocity_pp_full_lag0,Prior_Grant_Dollars_log,1.001599349831648,0.9911200417771338,1.0121894576810129,0.7658519810745893,0.6934575078954924,3442,33
velocity_pp_full_lag0,Disaster_Year,1.0014431802123598,0.9759014007720849,1.027653451875783,0.9128806032411056,0.6934575078954924,3442,33
velocity_pp_full_lag0,Population_log,0.9968507240875095,0.9473390640086734,1.048950057974907,0.9034096090996853,0.6934575078954924,3442,33
