source,model,capacity_set,variable,p_value,effect_ratio,effect_lower,effect_upper,n,events,interpretation,bonferroni,rank,bh_raw,bh_fdr,sig_bonferroni,sig_bh_fdr
capacity_sets,Cox_PH,ratio_velocity_index_pp_spline_q25_interaction,Ratio_disbursed_to_obligated_above_q25_x_Capacity_Velocity_Index_pp,0.0116882515251272,1.6580187628691176,1.1191722200143062,2.4563031219546345,151,40,Hazard Ratio (>1 = faster completion),1.0,70,0.07964708539265249,0.07964708539265249,False,False
capacity_sets,Cox_PH,velocity_index_fixed_18m_pp,Capacity_Velocity_Index_fixed_18m_pp,0.013610992107638,1.1491964672031874,1.029010623299668,1.2834197143635189,151,40,Hazard Ratio (>1 = faster completion),1.0,74,0.08773571939653144,0.08773571939653144,False,False
capacity_sets,Cox_PH,velocity_index_fixed_18m_scaled,Capacity_Velocity_Index_fixed_18m_scaled,0.013610992107638,1.4455790042251713,1.0787281310299406,1.9371875056799064,151,40,Hazard Ratio (>1 = faster completion),1.0,73,0.08893757856634693,0.08773571939653144,False,False
capacity_sets,Cox_PH,ratio_velocity_index_pp_spline_interaction,Capacity_Velocity_Index_pp_c,0.0148759598692531,1.2995498422364016,1.0524802560234114,1.604618977687587,151,40,Hazard Ratio (>1 = faster completion),1.0,76,0.09336622181097011,0.09081330860326003,False,False
capacity_sets,Cox_PH,ratio_velocity_index_pp_spline_q33_interaction,Ratio_disbursed_to_obligated_above_q33_x_Capacity_Velocity_Index_pp,0.0149608638524742,1.7596526920866749,1.1162039245054185,2.774025004561656,151,40,Hazard Ratio (>1 = faster completion),1.0,78,0.09149143663628453,0.09081330860326003,False,False
capacity_sets,Cox_PH,ratio_velocity_index_pp_threshold_q75_interaction,Ratio_disbursed_to_obligated_high_q75,0.015386586300858,2.02653690107619,1.1445537803693524,3.588168491390756,151,40,Hazard Ratio (>1 = faster completion),1.0,80,0.09174252081886583,0.09174252081886583,False,False
capacity_sets,Cox_PH,velocity_index_early_6q_pp,Capacity_Velocity_Index_early_6q_pp,0.0163766591546784,1.1503608008575097,1.026035386119705,1.2897508117669745,125,40,Hazard Ratio (>1 = faster completion),1.0,81,0.09644032613310613,0.09526422459489751,False,False
capacity_sets,Cox_PH,velocity_index_early_6q_scaled,Capacity_Velocity_Index_early_6q_scaled,0.0163766591546784,1.3591872894707295,1.0579257523592804,1.746237941310081,125,40,Hazard Ratio (>1 = faster completion),1.0,82,0.09526422459489751,0.09526422459489751,False,False
capacity_sets,Cox_PH,ratio_velocity_index_pp_threshold_q25_interaction,Capacity_Velocity_Index_pp_c,0.0204603983537323,1.2795360536969551,1.0387888293442649,1.5760782812266736,151,40,Hazard Ratio (>1 = faster completion),1.0,83,0.117585662828076,0.117585662828076,False,False
capacity_sets,Cox_PH,ratio_velocity_index_pp_spline_q33_interaction,Capacity_Velocity_Index_pp_c,0.0238942410651271,1.2752634059917751,1.0326942300586046,1.5748095683360723,151,40,Hazard Ratio (>1 = faster completion),1.0,85,0.13408885868312503,0.13369586360567673,False,False
capacity_sets,Cox_PH,velocity_early_6q_pp,Disbursement_Velocity_early_6q_pp,0.0243068081240191,1.1963877491215489,1.023542040414313,1.3984219404107154,125,40,Hazard Ratio (>1 = faster completion),1.0,86,0.13481799389717572,0.13369586360567673,False,False
capacity_sets,Cox_PH,ratio_velocity_pp_threshold_q75_interaction,Ratio_disbursed_to_obligated_high_q75,0.0243847801544945,1.9397124172507616,1.0894402895091122,3.4535938296646975,151,40,Hazard Ratio (>1 = faster completion),1.0,87,0.13369586360567673,0.13369586360567673,False,False
capacity_sets,Cox_PH,ratio_velocity_index_pp_spline_q25_interaction,Capacity_Velocity_Index_pp_c,0.0262084286474203,1.2703218230794855,1.0287268608513156,1.5686550002753574,151,40,Hazard Ratio (>1 = faster completion),1.0,88,0.14206159619113048,0.14206159619113048,False,False
capacity_sets,Cox_PH,ratio_velocity_index_pp_threshold_q33_interaction,Capacity_Velocity_Index_pp_c,0.03005761164617,1.260885645604448,1.0226250141077946,1.5546584421058978,151,40,Hazard Ratio (>1 = faster completion),1.0,90,0.159305341724701,0.159305341724701,False,False
capacity_sets,Cox_PH,velocity_index_fixed_12m_pp,Capacity_Velocity_Index_fixed_12m_pp,0.031488554993556,1.121202583430219,1.01020446000342,1.244396835355826,150,39,Hazard Ratio (>1 = faster completion),1.0,92,0.1632613123035458,0.1632613123035458,False,False
