Program_Type,N,N_Events,Velocity_HR,Velocity_p,Velocity_CI_lower,Velocity_CI_upper
Housing,50,39,0.821561397542501,0.8907854884978682,0.04968373229293047,13.585193760252753
Infrastructure,56,48,5.689423718905339,0.3735486791681216,0.12358442157268411,261.92251289702443
Administration,34,16,30.73772584426275,0.003654787432824752,3.051288099419022,309.64227542360015
