Disaster_Context,N,N_Events,Velocity_HR,Velocity_p,Velocity_CI_lower,Velocity_CI_upper
Hurricane,77,54,4.581872249483177,0.028131430202569793,1.1773449487346321,17.83126800106217
Flood,1,0,,,,
Fire,27,11,51.09270067866701,0.002447763515254072,4.010531325495187,650.9022996641331
Other,65,52,5.315861166682385,0.2060259281799339,0.39902678432712946,70.81825344404716
Pre-2010,6,6,3.0793987310363815e-31,0.5213151265331165,1.7412424897267225e-124,5.445936795510158e+62
2010-2020,126,97,5.362459924158034,0.010179175638506642,1.4895635510435954,19.30496783306386
Post-2020,11,3,,,,
