Model_Type,Velocity_Var,Term,coef,HR,p_value,N,Events,Penalizer,LRT_stat,LRT_df,LRT_p,Ratio_Q25,Ratio_Q50,Ratio_Q75
pooled,Expenditure_Velocity_pp,Expenditure_Velocity_pp_c,0.23715764112846857,1.2676409343726003,0.07916065430226252,151,40,0.1,15.835053865189138,3,0.0012257858528418799,0.11496528907958992,0.4436244255286588,0.6856255807474508
pooled,Expenditure_Velocity_pp,Ratio_Stratum_Q2,-0.37769898662917273,0.6854367952558267,0.46265796914721435,151,40,0.1,15.835053865189138,3,0.0012257858528418799,0.11496528907958992,0.4436244255286588,0.6856255807474508
pooled,Expenditure_Velocity_pp,Ratio_Stratum_Q3,-0.12163081555313064,0.8854752118424766,0.7736425659585194,151,40,0.1,15.835053865189138,3,0.0012257858528418799,0.11496528907958992,0.4436244255286588,0.6856255807474508
pooled,Expenditure_Velocity_pp,Ratio_Stratum_Q4,0.5798136018672442,1.785705547546919,0.16668913076315914,151,40,0.1,15.835053865189138,3,0.0012257858528418799,0.11496528907958992,0.4436244255286588,0.6856255807474508
pooled,Expenditure_Velocity_pp,Expenditure_Velocity_pp_c_x_Ratio_Stratum_Q2,-0.028792728080172504,0.9716178326904151,0.897157304865575,151,40,0.1,15.835053865189138,3,0.0012257858528418799,0.11496528907958992,0.4436244255286588,0.6856255807474508
pooled,Expenditure_Velocity_pp,Expenditure_Velocity_pp_c_x_Ratio_Stratum_Q3,0.7110950316378307,2.0362197633449326,0.0008351007098244037,151,40,0.1,15.835053865189138,3,0.0012257858528418799,0.11496528907958992,0.4436244255286588,0.6856255807474508
pooled,Expenditure_Velocity_pp,Expenditure_Velocity_pp_c_x_Ratio_Stratum_Q4,0.758532645012149,2.13514091108778,0.003920452119435754,151,40,0.1,15.835053865189138,3,0.0012257858528418799,0.11496528907958992,0.4436244255286588,0.6856255807474508
stratified_baseline,Expenditure_Velocity_pp,Expenditure_Velocity_pp_c,0.23001676203530141,1.2586211068040873,0.09506214876858665,151,40,0.1,13.406640182214772,3,0.003834876330473539,0.11496528907958992,0.4436244255286588,0.6856255807474508
stratified_baseline,Expenditure_Velocity_pp,Expenditure_Velocity_pp_c_x_Ratio_Stratum_Q2,-1.6112330480179843e-17,1.0,0.9999999999999999,151,40,0.1,13.406640182214772,3,0.003834876330473539,0.11496528907958992,0.4436244255286588,0.6856255807474508
stratified_baseline,Expenditure_Velocity_pp,Expenditure_Velocity_pp_c_x_Ratio_Stratum_Q3,0.6979867611191606,2.0097026204876545,0.0038553266423201516,151,40,0.1,13.406640182214772,3,0.003834876330473539,0.11496528907958992,0.4436244255286588,0.6856255807474508
stratified_baseline,Expenditure_Velocity_pp,Expenditure_Velocity_pp_c_x_Ratio_Stratum_Q4,0.6622163443079471,1.9390852559182257,0.015041851171025768,151,40,0.1,13.406640182214772,3,0.003834876330473539,0.11496528907958992,0.4436244255286588,0.6856255807474508
pooled,Capacity_Velocity_Index_pp,Capacity_Velocity_Index_pp_c,0.20881851527530226,1.2322213488841025,0.053062384103381405,151,40,0.1,12.389653773344094,3,0.006160873522645415,0.11496528907958992,0.4436244255286588,0.6856255807474508
pooled,Capacity_Velocity_Index_pp,Ratio_Stratum_Q2,-0.45309537668072064,0.6356575038323353,0.36839417217648485,151,40,0.1,12.389653773344094,3,0.006160873522645415,0.11496528907958992,0.4436244255286588,0.6856255807474508
pooled,Capacity_Velocity_Index_pp,Ratio_Stratum_Q3,-0.051161736351012614,0.9501249883561421,0.9023868520903949,151,40,0.1,12.389653773344094,3,0.006160873522645415,0.11496528907958992,0.4436244255286588,0.6856255807474508
pooled,Capacity_Velocity_Index_pp,Ratio_Stratum_Q4,0.6084418456478742,1.8375659555689807,0.1419796013623196,151,40,0.1,12.389653773344094,3,0.006160873522645415,0.11496528907958992,0.4436244255286588,0.6856255807474508
pooled,Capacity_Velocity_Index_pp,Capacity_Velocity_Index_pp_c_x_Ratio_Stratum_Q2,-0.008440563116898257,0.9915949584251045,0.9705258156832441,151,40,0.1,12.389653773344094,3,0.006160873522645415,0.11496528907958992,0.4436244255286588,0.6856255807474508
pooled,Capacity_Velocity_Index_pp,Capacity_Velocity_Index_pp_c_x_Ratio_Stratum_Q3,0.6727858705784219,1.959689163428958,0.0006738786873291871,151,40,0.1,12.389653773344094,3,0.006160873522645415,0.11496528907958992,0.4436244255286588,0.6856255807474508
pooled,Capacity_Velocity_Index_pp,Capacity_Velocity_Index_pp_c_x_Ratio_Stratum_Q4,0.2705636560174835,1.310703028210858,0.08286143917294403,151,40,0.1,12.389653773344094,3,0.006160873522645415,0.11496528907958992,0.4436244255286588,0.6856255807474508
stratified_baseline,Capacity_Velocity_Index_pp,Capacity_Velocity_Index_pp_c,0.20317666625811973,1.225288916335364,0.06325966465855783,151,40,0.1,12.142940331277032,3,0.006909207837068289,0.11496528907958992,0.4436244255286588,0.6856255807474508
stratified_baseline,Capacity_Velocity_Index_pp,Capacity_Velocity_Index_pp_c_x_Ratio_Stratum_Q2,-5.803696333830249e-18,1.0,1.0,151,40,0.1,12.142940331277032,3,0.006909207837068289,0.11496528907958992,0.4436244255286588,0.6856255807474508
stratified_baseline,Capacity_Velocity_Index_pp,Capacity_Velocity_Index_pp_c_x_Ratio_Stratum_Q3,0.7588701387196028,2.135861629321893,0.001960073806962781,151,40,0.1,12.142940331277032,3,0.006909207837068289,0.11496528907958992,0.4436244255286588,0.6856255807474508
stratified_baseline,Capacity_Velocity_Index_pp,Capacity_Velocity_Index_pp_c_x_Ratio_Stratum_Q4,0.24538852463043337,1.2781177969952786,0.11615975617615948,151,40,0.1,12.142940331277032,3,0.006909207837068289,0.11496528907958992,0.4436244255286588,0.6856255807474508
