Model,chi2,chi2 p-value,CFI,TLI,RMSEA,AIC,BIC,N
all,0.02220362218487537,0.8815466898696156,0.7902284702704485,-0.2586291783773089,0.0,17.998889818890756,33.19880490591618,40
state,2.1341403476955842,0.1440511969958107,1.3793886016868855,3.276331610121313,0.22705028955313605,17.814422578461254,28.0338705218236,23
local,2.2089209422781817,0.13721461848016803,1.3720936230359,3.2325617382154,0.2748773524544835,17.740126947967273,25.239047044473217,17
