Analysis_Level,Model,Subset,N,Beta,SE,p_value,Robust_SE,Robust_p,Significant,CFI,RMSEA,Overall_Fit
grantee,exp_time_to_milestone,state,28,-0.5456470708809082,1.2132993793123452,0.6529111156664562,,,False,0.7659050729982539,0.3537008095148818,poor
grantee_disaster,exp_time_to_milestone,state,52,-0.7530302088140557,2.729666505007838,0.7826487298180136,2.7723005322859064,0.785909243904404,False,0.9886479981457381,0.10431344882999029,good
