Threshold,Duration_Col,N,Pct_Available,CFI,RMSEA,Capacity_Beta,Capacity_SE,Capacity_p,Significant,Subset
50pct,Duration_50pct_log,88,56.41025641025641,0.6496954083666253,0.22941377539247923,-0.6188244687819209,33.39430141213034,0.9852153747276007,False,all
70pct,Duration_70pct_log,74,47.43589743589744,0.6351396763989399,0.16088976434017527,-0.41953913091970146,15.693529925484448,0.978672489276911,False,all
90pct,Duration_90pct_log,57,36.53846153846154,0.8158437732983008,0.0,-4.84956846554687,14.037209914310065,0.7297339084075956,False,all
50pct,Duration_50pct_log,52,55.319148936170215,0.6834174993345431,0.17127236910138752,-0.5366800081282292,6.140087447852186,0.930348861856767,False,state
70pct,Duration_70pct_log,42,44.680851063829785,2.493095057667554,0.16120337786826602,-6.011274936428442,15.294855712000173,0.6943003276913355,False,state
90pct,Duration_90pct_log,32,34.04255319148936,0.5462901306581487,0.0,0.07465960253225648,2.550805226601295,0.9766500243466136,False,state
50pct,Duration_50pct_log,36,59.01639344262295,0.778433171580008,0.29297943095258716,-0.7610440129719775,13.869900012469545,0.9562418830891741,False,local
70pct,Duration_70pct_log,32,52.459016393442624,0.7545648680387028,0.26534787014454075,-5.068975435287445,10.460201371259021,0.627962701271588,False,local
90pct,Duration_90pct_log,25,40.98360655737705,-2.5027064487721837,0.16217146583848252,-7.016895225249228,16.432447686398728,0.6693686870053555,False,local
