Analysis_Level,Model,Subset,N,Beta,SE,p_value,Significant,CFI,RMSEA,Overall_Fit
grantee,exp_time_to_milestone,all,54,-1.8467964481056989,1.4845210214032112,0.21348659765274958,False,0.7012120129460013,0.42664560686939196,poor
grantee_disaster,exp_time_to_milestone,all,88,-1.4630251017849434,1.207110323238172,0.22551003716157503,False,0.85840770656555,0.33576192523969706,poor
