Min_Quarters,N,CFI,RMSEA,Overall_Fit,Capacity_Effect,Capacity_SE
3,40,0.7902284702704485,0,poor,0.31973832450495665,6.136749712616919
4,40,0.7902284702704485,0,poor,0.31973832450495665,6.136749712616919
5,40,0.7902284702704485,0,poor,0.31973832450495665,6.136749712616919
6,40,0.7902284702704485,0,poor,0.31973832450495665,6.136749712616919
