Model,chi2,chi2 p-value,CFI,TLI,RMSEA,AIC,BIC,N
Reflective (exp_optimal_v1),0.02220362218487537,0.8815466898696156,0.7902284702704485,-0.2586291783773089,0,17.998889818890756,33.19880490591618,40
Formative capacity,0.17872321220586684,0.6724727955096345,1.2730782914442964,2.6384697486657784,0,17.991063839389707,33.19097892641513,40
