Grantee,state_level,z_avg_employment,z_avg_payroll,z_rev_programs_per_staff,z_rev_disasters_per_staff,z_Ratio_disbursed_to_obligated,z_Ratio_expended_to_disbursed,z_Ratio_obligated_funds_fully_expended,z_Ratio_Program_Completed,z_rev_Duration_of_completion,z_rev_Average_Duration_Program_Completion,z_E_TOTPOP,z_SPL_THEME1,z_SPL_THEME2,z_SPL_THEME3,z_SPL_THEME4
AK,1,1.8748530543193895,3.332862978562803,0.7177221217281106,1.1975079824845158,-2.2353610169614244,-0.3136084152821565,-2.787443453550028,-3.3042974668121206,0.8734996583612512,1.2796144791317985,-0.20359138330739338,-0.8710239180208225,-0.585630054277661,0.6805718698947446,0.806214495929171
AL,1,-0.2844998623459981,-0.2353928642423137,0.717722077644213,1.1975079371600914,-0.09556443891088472,-0.09793179889815119,-0.5207652812818815,-0.5965946552895279,0.4765954444220843,-0.3145879059863446,0.6699268113460227,0.585495234103117,0.3356166593005416,0.4782544568908056,0.061212080831996314
"Acadia Parish, LA",0,-0.420421510606961,-0.4385213263220568,0.1535591677712554,-1.4830064985334581,0.841195761928567,-0.07449838806624594,0.5686675225880058,0.4187938990314442,1.2689570768668608,-0.1618951632256826,-0.3444815238198258,1.7877727478281076,1.9257907517220683,0.24634751193611104,0.8724631760704255
"Adams County, IN",0,-0.420421510606961,-0.4385213263220568,0.43564064645711187,-0.1427492499119432,-0.048674468333799945,-1.432226974814882,0.5686675225880058,0.4187938990314442,0.9164212562234454,0.4556371100794297,-0.35745368891316404,0.6818990786925869,-0.4643370849055328,-0.4181542603287621,0.8678723654421344
"Allen Parish, LA",0,-0.420421510606961,-0.4385213263220568,0.1535591677712554,-1.4830064985334581,1.6551954490329899,-0.07449838806624594,0.5686675225880058,0.4187938990314442,1.4449838546163092,-0.36755144037565163,-0.35745368891316404,1.2108585796076465,0.792136504207889,0.6714567126574692,1.565645378241057
"Ascension Parish, LA",0,-0.420421510606961,-0.4385213263220568,0.43564064645711187,-0.1427492499119432,-0.11446727413894028,-0.07449838806624594,0.5686675225880058,0.4187938990314442,-0.6673374783770699,-2.835990208030484,-0.33261159900150705,-1.0723856633266728,0.56041130361862,0.4887240538030641,-0.7938500684921592
"Assumption Parish, LA",0,-0.420421510606961,-0.4385213263220568,0.43564064645711187,-0.1427492499119432,-0.627862714523786,1.4925079602834963,0.5686675225880058,0.4187938990314442,0.6540690176050897,-3.5549420152725677,-0.35267408445738846,1.1684778486197418,1.2266722412018107,0.5220095322919011,0.008454494204919215
"Avoyelles Parish, LA",0,-0.420421510606961,-0.4385213263220568,0.43564064645711187,-0.1427492499119432,1.0785347493510038,-0.07449838806624594,0.5686675225880058,0.4187938990314442,1.2694393420113799,-1.2932864084781146,-0.34879471453861416,2.094668507351499,1.8692304054800561,0.2948725531482251,1.7300084798145212
"Bartholomew County, IN",0,-0.420421510606961,-0.4385213263220568,-0.692685268286314,-0.1427492499119432,0.4499514281324493,-0.05922956419196027,0.5686675225880058,0.4187938990314442,-1.1081278204674687,0.5385757511656638,-0.35745368891316404,-1.207453664471806,0.017876123439830253,0.3333444562468494,-0.5007328504159979
"Boulder County, CO",0,-0.420421510606961,-0.4385213263220568,-2.6672556190873093,-0.1427492499119432,0.9616083744977447,0.3035885612985073,0.5206846955049805,0.4187938990314442,-0.8438465212710371,0.06254250909779938,-0.35745368891316404,-1.4832341592354883,-3.3770589539983913,0.5734474969149919,0.15593428563880807
