lval,op,rval,Estimate,Est. Std,Std. Err,z-value,p-value
RecoveryPerformance,~,GovCapacity,-0.1912143051805764,-0.28080220828960056,0.05454261870645889,-3.505777861641747,0.00045527501649234026
RecoveryPerformance,~,state_level,-0.4357265690463334,-0.25041887727404943,0.18331171120675183,-2.3769707138487917,0.017455473949566036
RecoveryPerformance,~,z_E_TOTPOP,-0.0005581105464482446,-0.0008627230142911993,0.06703345281710497,-0.008325851093523042,0.9933570087054904
RecoveryPerformance,~,z_SPL_THEME1,-0.07012941173476782,-0.10840550831249707,0.08067178055942854,-0.8693177620176141,0.384673350306477
RecoveryPerformance,~,z_SPL_THEME2,0.025465166622909263,0.03936385980905522,0.06752437061248857,0.3771255680215459,0.7060802911054691
RecoveryPerformance,~,z_SPL_THEME3,-0.27909269389091884,-0.43141935172614165,0.06931313192054908,-4.026548594093327,5.6601546143619785e-05
RecoveryPerformance,~,z_SPL_THEME4,0.1364277010799676,0.21088889693548002,0.07288687481669608,1.8717732296960077,0.06123798337941677
RecoveryTimeliness,~,GovCapacity,0.03708850990669176,0.11839786137594502,0.03224334025781358,1.150268849597671,0.25003315662574765
RecoveryTimeliness,~,state_level,0.058864041007033664,0.0735406439082117,0.0888274427075557,0.6626785508186648,0.5075364498650135
RecoveryTimeliness,~,z_E_TOTPOP,0.0068938388092665,0.02316522977511801,0.03097679114649836,0.22254851306066403,0.8238869120287693
RecoveryTimeliness,~,z_SPL_THEME1,-0.05905257128482979,-0.1984331836691389,0.0512016373606165,-1.1533336496207203,0.24877346362910013
RecoveryTimeliness,~,z_SPL_THEME2,0.0360985126884756,0.12130111598265295,0.03779443371501168,0.9551277566352954,0.3395130938663411
RecoveryTimeliness,~,z_SPL_THEME3,-0.045286881580718544,-0.15217660967148805,0.03977922283925306,-1.1384556647218411,0.2549302617010676
RecoveryTimeliness,~,z_SPL_THEME4,-0.022609187493967363,-0.07597320416347313,0.03548359154783774,-0.63717302863351,0.5240121439693692
z_avg_employment,~,GovCapacity,1.0,0.9500229404090605,-,-,-
z_avg_payroll,~,GovCapacity,1.0224253635578464,0.9713230472088854,0.05187368493200606,19.70990425835933,0.0
z_rev_programs_per_staff,~,GovCapacity,0.3486297227469413,0.331214572600083,0.0785149461922819,4.440297543969681,8.983458366973451e-06
z_rev_disasters_per_staff,~,GovCapacity,0.5694892582731307,0.5410281187814158,0.07141374827521463,7.974504517959985,1.5543122344752192e-15
z_Ratio_disbursed_to_obligated,~,RecoveryPerformance,1.0,0.6628213070314162,-,-,-
z_Ratio_expended_to_disbursed,~,RecoveryPerformance,0.1511147964458419,0.09781699081957614,0.12982995556697494,1.1639439895419426,0.2444467110172357
z_Ratio_obligated_funds_fully_expended,~,RecoveryPerformance,1.301866886762923,0.8782319143358438,0.16742146037590408,7.775985729858778,7.549516567451064e-15
z_Ratio_Program_Completed,~,RecoveryPerformance,0.8975030617260156,0.5920205053496441,0.13654346216344906,6.573021128211092,4.930456043439335e-11
z_rev_Duration_of_completion,~,RecoveryTimeliness,1.0,0.2975157428496248,-,-,-
z_rev_Average_Duration_Program_Completion,~,RecoveryTimeliness,3.3697707145608184,1.0,2.0317178641929416,1.6585820176846908,0.09720004781343117
RecoveryPerformance,~~,RecoveryTimeliness,-0.04515620675131141,-0.23455467572761604,0.03084883454373655,-1.463789715810058,0.1432514132552627
RecoveryPerformance,~~,RecoveryPerformance,0.28741480543235237,0.6867702035361573,0.0664836097627038,4.3230926607908735,1.5385707448523078e-05
GovCapacity,~~,GovCapacity,0.9025223587688503,1.0,0.11419503909139528,7.903341212910474,2.6645352591003757e-15
RecoveryTimeliness,~~,RecoveryTimeliness,0.07912920404199204,0.8934860426069096,0.05540840431569616,1.4281083351492243,0.15326067876799132
z_Ratio_Program_Completed,~~,z_Ratio_Program_Completed,0.6247166246833122,0.649511721245552,0.07731674540725901,8.0799653604739,6.661338147750939e-16
z_Ratio_disbursed_to_obligated,~~,z_Ratio_disbursed_to_obligated,0.5340851141048647,0.5606679149451651,0.07172291136277723,7.446506338762453,9.592326932761353e-14
z_Ratio_expended_to_disbursed,~~,z_Ratio_expended_to_disbursed,0.9892536642846445,0.990431836307003,0.10781377068521918,9.175578017429377,0.0
z_Ratio_obligated_funds_fully_expended,~~,z_Ratio_obligated_funds_fully_expended,0.2103270435159008,0.22870870464199927,0.06924916448168768,3.037250269907338,0.0023874714124341168
z_avg_employment,~~,z_avg_employment,0.09745412044508919,0.09745641269652244,0.037835597298516634,2.5757257027982536,0.010002996480257487
z_avg_payroll,~~,z_avg_payroll,0.05653073244085671,0.05653153796084553,0.03844893452498747,1.4702808579168258,0.14148570321530607
z_rev_Average_Duration_Program_Completion,~~,z_rev_Average_Duration_Program_Completion,0.0,0.0,0.5531902674753922,0.0,1.0
z_rev_Duration_of_completion,~~,z_rev_Duration_of_completion,0.9119653848803083,0.9114843827566359,0.11052443097021701,8.25125609665255,2.220446049250313e-16
z_rev_disasters_per_staff,~~,z_rev_disasters_per_staff,0.7072712612612996,0.7072885746878421,0.07823759572387334,9.040043405071604,0.0
z_rev_programs_per_staff,~~,z_rev_programs_per_staff,0.8902311418245732,0.8902969068973442,0.09730406313223504,9.14896164824701,0.0
