Experience_Group,N,N_Events,Velocity_HR,Velocity_p,Velocity_CI_lower,Velocity_CI_upper,Interaction_HR,Interaction_p
Novice,74,35,1.3308484961488225,0.7911812761748693,0.16043119578592854,11.039983283955124,,
Experienced,69,36,0.3161705670883446,0.3326054982688145,0.030782438810046154,3.2474303972413403,,
Interaction,143,71,0.7082086013543719,0.762213102405821,,,0.823332529228574,0.9558581885848891
