Model,Variable,Coefficient,SE,Effect_Ratio,Effect_Lower,Effect_Upper,p_value,Interpretation,Capacity_Set,N,Events
Cox_PH,Capacity_Velocity_Index_winsor,41.31432832883528,11.941548368661705,8.761628135860796e+17,59968117.65943459,1.2801156779185675e+28,0.0005407517111734318,Hazard Ratio (>1 = faster completion),velocity_index_winsor,151,40
AFT_lognormal,Capacity_Velocity_Index_winsor,-22.36958389195745,2.894486968013278,1.927583292019137e-10,6.625541510318804e-13,5.607960257866605e-08,1.0895669191506425e-14,Time Ratio (<1 = faster completion),velocity_index_winsor,151,40
Cox_PH,Capacity_Velocity_Index_scaled,0.9617188128668565,0.27899548321334994,2.6161893510277636,1.514215849566057,4.520126190986937,0.0005666878004822864,Hazard Ratio (>1 = faster completion),velocity_index_scaled,151,40
AFT_lognormal,Capacity_Velocity_Index_scaled,-0.5244560494283683,0.06219347399141145,0.5918772287766428,0.5239531439903868,0.6686068362455438,3.379125718600595e-17,Time Ratio (<1 = faster completion),velocity_index_scaled,151,40
Cox_PH,Ratio_disbursed_to_obligated_c,1.4752780978437965,0.5612515895992759,4.372251517593517,1.4553482163811782,13.135401629606887,0.00857496443458165,Hazard Ratio (>1 = faster completion),ratio_velocity_pp_interaction,151,40
Cox_PH,Disbursement_Velocity_pp_c,0.12250746535469714,0.0672372906226584,1.1303275583386607,0.9907676793264557,1.2895458903225472,0.06845245405667268,Hazard Ratio (>1 = faster completion),ratio_velocity_pp_interaction,151,40
Cox_PH,Ratio_disbursed_to_obligated_x_Disbursement_Velocity_pp,0.18028030640395243,0.1827461047985888,1.197552997853701,0.8370299075289573,1.7133595463777047,0.3238843959015883,Hazard Ratio (>1 = faster completion),ratio_velocity_pp_interaction,151,40
AFT_lognormal,Disbursement_Velocity_pp_c,-0.13510754669578687,0.055567666825587024,0.8736219514813214,0.7834733965581085,0.9741432414462668,0.015040359286493837,Time Ratio (<1 = faster completion),ratio_velocity_pp_interaction,151,40
AFT_lognormal,Ratio_disbursed_to_obligated_c,-0.7666033197159544,0.28302851928945344,0.46458844969039653,0.2667805085227164,0.8090637085180723,0.0067573306541975344,Time Ratio (<1 = faster completion),ratio_velocity_pp_interaction,151,40
AFT_lognormal,Ratio_disbursed_to_obligated_x_Disbursement_Velocity_pp,0.2130266955882918,0.21578075723540519,1.2374176843957267,0.8106686993464125,1.8888141689567977,0.3235265848777563,Time Ratio (<1 = faster completion),ratio_velocity_pp_interaction,151,40
