Group,N,Converged,chi2,chi2 p-value,CFI,TLI,RMSEA,AIC,BIC
state,94,True,2.1341403476955842,0.1440511969958107,1.3793886016868855,3.276331610121313,0.22705028955313605,17.814422578461254,28.0338705218236
local,61,True,2.2089209422781817,0.13721461848016803,1.3720936230359,3.2325617382154,0.2748773524544835,17.740126947967273,25.239047044473217
