Feature,Importance_Mean,Importance_Std,RSF_C_Index
Housing_Pct,0.02211055276381909,0.006985186535632537,0.8799712849964106
Disbursement_Velocity_pp,0.01684134960516872,0.004633737735855083,0.8799712849964106
Stage2_Efficiency,0.016051687006460903,0.0037123513599924816,0.8799712849964106
Log_Obligated,0.012648959081119904,0.007932425540202015,0.8799712849964106
Ratio_expended_to_disbursed,0.012404881550610203,0.004353520322237457,0.8799712849964106
Stage1_Efficiency,0.011687006460875815,0.004367702131648302,0.8799712849964106
Velocity_Early,0.010595836324479547,0.002281713771752368,0.8799712849964106
Program_Diversity_Index,0.010337401292175174,0.004532060916365056,0.8799712849964106
Ratio_disbursed_to_obligated,0.009921033740129226,0.0037535738226002697,0.8799712849964106
Total_Damage,0.009002153625269215,0.0029276984586079995,0.8799712849964106
Capacity_Velocity_Index_pp,0.008528356066044518,0.0012404083885975668,0.8799712849964106
Infrastructure_Pct,0.005283560660445097,0.0035214242818612427,0.8799712849964106
Population_log,0.004795405599425706,0.002145185664967088,0.8799712849964106
Experience_Index,0.0043790380473797685,0.0018974186902751653,0.8799712849964106
Employment_Per_Capita,0.003747307968413527,0.0010829211757721591,0.8799712849964106
N_Quarters,0.003488872936109133,0.0011961617243842686,0.8799712849964106
Lag_Total_Pipeline,0.002871500358937562,0.0007515435651573542,0.8799712849964106
Years_Experience,0.001493180186647558,0.0006522794941335575,0.8799712849964106
Prior_Grant_Count,0.0008327351040918973,0.0008845899095907808,0.8799712849964106
Employment_Log,0.0007035175879397171,0.0014492545093826208,0.8799712849964106
Velocity_Late,0.0003302225412778248,0.002390470153681694,0.8799712849964106
Duration_Days,0.00022972002871501918,0.000781660163033226,0.8799712849964106
Severity_Index,-0.0005743000717875035,0.0018420176815471254,0.8799712849964106
Counties_Affected,-0.0006604450825556052,0.0011417599627894439,0.8799712849964106
Government_Type_State,-0.0011629576453697,0.0005830277244579007,0.8799712849964106
