model,variable,HR,HR_Lower,HR_Upper,p_value,concordance,n_obs,n_events
capacity_only,Ratio_disbursed_to_obligated_lag1,0.9999999999998781,0.9999999857863874,1.000000014213369,0.9999865860603986,0.6909389510891766,40277,31
capacity_only,Ratio_expended_to_disbursed_lag1,0.9999999998632254,0.9999999572158293,1.0000000425106232,0.9949845946292674,0.6909389510891766,40277,31
full_covariates,Ratio_disbursed_to_obligated_lag1,0.9999999999998621,0.9999999857863712,1.0000000142133532,0.9999848233780781,0.1714961798470213,40229,30
full_covariates,Ratio_expended_to_disbursed_lag1,0.9999999998520814,0.9999999572062929,1.0000000424978719,0.994575753764261,0.1714961798470213,40229,30
full_covariates,Government_Type_State,1.0044157953764492,0.9019781959860782,1.1184872256238845,0.9360137857401614,0.1714961798470213,40229,30
full_covariates,Log_Obligated,1.00042548278811,0.9835402700572191,1.0176005773038628,0.9609339704660221,0.1714961798470213,40229,30
full_covariates,Prior_Grant_Count,0.9999225805800626,0.9698111838838365,1.0309688976258007,0.9960401943186117,0.1714961798470213,40229,30
full_covariates,Prior_Grant_Dollars_log,1.0000613542202672,0.9968617122057676,1.0032712661738123,0.9700666781964119,0.1714961798470213,40229,30
full_covariates,Disaster_Year,0.999746080939185,0.9897948060837827,1.0097974046841542,0.960316685101268,0.1714961798470213,40229,30
full_covariates,Population_log,1.0004839768574971,0.9784953937748561,1.0229666836621898,0.9659607481583377,0.1714961798470213,40229,30
velocity_pp_only_lag1,Disbursement_Velocity_pp_lag1,1.0827249635938954,0.4823061324314721,2.430600127100739,0.8472380195066977,0.5426418766020589,80878,81
velocity_pp_only_lag1,Expenditure_Velocity_pp_lag1,0.9754754194184602,0.0006570562821586272,1448.2051533903407,0.9946828464336182,0.5426418766020589,80878,81
velocity_pp_full_lag1,Disbursement_Velocity_pp_lag1,1.0466099726241658,0.46320883568519766,2.364791753542454,0.912773519625453,0.8619295179467958,80806,80
velocity_pp_full_lag1,Expenditure_Velocity_pp_lag1,0.7172870249331401,0.0004529043406857022,1136.002969983629,0.929561373555137,0.8619295179467958,80806,80
velocity_pp_full_lag1,Government_Type_State,1.000318096217882,0.9432826629344975,1.060802167727801,0.9915280180403712,0.8619295179467958,80806,80
velocity_pp_full_lag1,Log_Obligated,0.9996544074408805,0.9894804525507895,1.0099329721368944,0.9471969717287888,0.8619295179467958,80806,80
velocity_pp_full_lag1,Prior_Grant_Count,1.00026348735381,0.9808342344484721,1.0200776124987185,0.9789983015622574,0.8619295179467958,80806,80
velocity_pp_full_lag1,Prior_Grant_Dollars_log,1.0000139267197863,0.9978631329249613,1.0021693563346903,0.9898849010749168,0.8619295179467958,80806,80
velocity_pp_full_lag1,Disaster_Year,1.0002329638909873,0.9947197399865737,1.0057767447820558,0.934168100255262,0.8619295179467958,80806,80
velocity_pp_full_lag1,Population_log,0.9997351912489231,0.9845835801818384,1.0151199682173584,0.9728845670145397,0.8619295179467958,80806,80
velocity_index_scaled_only_lag1,Capacity_Velocity_Index_pp_lag1_scaled,1.0019171148354464,0.9809578190275788,1.0233242301848282,0.8590635428560516,0.5543991938745025,80878,81
velocity_index_scaled_full_lag1,Capacity_Velocity_Index_pp_lag1_scaled,1.000975715621321,0.9798613488942872,1.0225450614969729,0.9285585425370685,0.8743083437144175,80806,80
velocity_index_scaled_full_lag1,Government_Type_State,1.0003166957960863,0.9432813405477444,1.0608006846688522,0.991565309005477,0.8743083437144175,80806,80
velocity_index_scaled_full_lag1,Log_Obligated,0.9996550454091038,0.9894810831933445,1.0099336175147597,0.9472943258749339,0.8743083437144175,80806,80
velocity_index_scaled_full_lag1,Prior_Grant_Count,1.0002623126647203,0.9808330838827861,1.0200764131819822,0.9790918969370187,0.8743083437144175,80806,80
velocity_index_scaled_full_lag1,Prior_Grant_Dollars_log,1.0000138191147703,0.997863026055917,1.0021692479910265,0.9899630485077797,0.8743083437144175,80806,80
velocity_index_scaled_full_lag1,Disaster_Year,1.0002323167053722,0.9947190979082451,1.005776092452264,0.9343505312654343,0.8743083437144175,80806,80
velocity_index_scaled_full_lag1,Population_log,0.9997353175772674,0.9845837100180235,1.0151200908991513,0.9728974895321102,0.8743083437144175,80806,80
velocity_pp_only_lag0,Disbursement_Velocity_pp_lag0,1.0032095118969477,0.4485748057116724,2.2436153612412384,0.9937741119001872,0.49654142621437586,81021,88
velocity_pp_only_lag0,Expenditure_Velocity_pp_lag0,0.4513668265012614,0.0003134585215535459,649.9488706068493,0.8302421122030894,0.49654142621437586,81021,88
velocity_pp_full_lag0,Disbursement_Velocity_pp_lag0,0.9665689873502474,0.4295035100133724,2.175199004260047,0.9345162867327533,0.5785032846648951,80945,87
velocity_pp_full_lag0,Expenditure_Velocity_pp_lag0,0.32504240441944887,0.00021182795923262686,498.7659091534285,0.7639831062672862,0.5785032846648951,80945,87
velocity_pp_full_lag0,Government_Type_State,1.0001344248981185,0.9432529243037214,1.060446081950561,0.996410123887084,0.5785032846648951,80945,87
velocity_pp_full_lag0,Log_Obligated,1.0000415244666583,0.9898938780152683,1.0102931969462816,0.9936331229913733,0.5785032846648951,80945,87
velocity_pp_full_lag0,Prior_Grant_Count,1.000341428362552,0.9809469936843778,1.0201193130119353,0.9727376194063146,0.5785032846648951,80945,87
velocity_pp_full_lag0,Prior_Grant_Dollars_log,1.0000423016743571,0.9978940211351656,1.0021952070626585,0.9692462972016924,0.5785032846648951,80945,87
velocity_pp_full_lag0,Disaster_Year,1.0000951801299542,0.994597430532684,1.0056233191588744,0.973004038466175,0.5785032846648951,80945,87
velocity_pp_full_lag0,Population_log,0.9999699600076049,0.984856678909552,1.0153151644610454,0.9969152013420517,0.5785032846648951,80945,87
velocity_index_scaled_only_lag0,Capacity_Velocity_Index_pp_lag0_scaled,0.9997535535448432,0.9789630694125994,1.0209855704008008,0.9816596761109974,0.44957074776008843,81021,88
velocity_index_scaled_full_lag0,Capacity_Velocity_Index_pp_lag0_scaled,0.998723200911968,0.9777859784128037,1.0201087498298556,0.9059152092571104,0.5796735463544828,80945,87
velocity_index_scaled_full_lag0,Government_Type_State,1.0001345148311271,0.9432530054841853,1.060446181396519,0.9964077226008086,0.5796735463544828,80945,87
velocity_index_scaled_full_lag0,Log_Obligated,1.000040900940409,0.9898932456337949,1.0102925825232667,0.9937287327197987,0.5796735463544828,80945,87
velocity_index_scaled_full_lag0,Prior_Grant_Count,1.0003358691090212,0.9809416311188924,1.0201135513890907,0.9731811476314415,0.5796735463544828,80945,87
velocity_index_scaled_full_lag0,Prior_Grant_Dollars_log,1.0000417426988353,0.9978934661159131,1.0021946441164051,0.969652432741062,0.5796735463544828,80945,87
velocity_index_scaled_full_lag0,Disaster_Year,1.000094674022732,0.9945969277428146,1.005622809712988,0.9731475220060479,0.5796735463544828,80945,87
velocity_index_scaled_full_lag0,Population_log,0.9999697292424313,0.9848564747250265,1.0153149063475124,0.9968914991037606,0.5796735463544828,80945,87
velocity_pp_only_lag2,Disbursement_Velocity_pp_lag2,1.1211041199275478,0.4994975815350331,2.5162773438380874,0.7816753977032554,0.5696279306084868,80735,78
velocity_pp_only_lag2,Expenditure_Velocity_pp_lag2,2.234496421342361,0.0015097756310144036,3307.0968655369597,0.8290825544881053,0.5696279306084868,80735,78
velocity_pp_full_lag2,Disbursement_Velocity_pp_lag2,1.1352376980780974,0.5025950485617205,2.564220707756122,0.7602796021549033,0.8682354012186244,80667,77
velocity_pp_full_lag2,Expenditure_Velocity_pp_lag2,2.51539901041196,0.00159569651477286,3965.1851859074386,0.8060294071485731,0.8682354012186244,80667,77
velocity_pp_full_lag2,Government_Type_State,1.0001409648183228,0.9429945523420926,1.0607505070133754,0.9962534327580878,0.8682354012186244,80667,77
