Disaster_Context,N,N_Events,Velocity_HR,Velocity_p,Velocity_CI_lower,Velocity_CI_upper
Hurricane,77,40,1.8397041846007642,0.4401619965731909,0.39132022064478406,8.648956297890392
Flood,1,0,,,,
Fire,27,6,12.06416308782538,0.026949506726714506,1.3284149245816195,109.56217693465541
Other,65,31,0.05635085590441972,0.13438863889430278,0.0013047354085571601,2.4337646854178714
Pre-2010,6,4,,,,
2010-2020,126,64,0.5201446314610052,0.502700581850557,0.07691341274054705,3.517597620461284
Post-2020,11,3,,,,
