Grantee,Grant_Sequence,Disaster_Type,Velocity,Duration,Completed
"New Orleans, LA",2,2013 National Disaster Resilience,0.0005370866328071692,32.0,0
New York,1,2011 Multiple Disasters,0.0001950852791810794,34.0,0
New York,2,2011-2013 Hurricane Sandy and Other Events,1.2144158015068728e-05,2.0,1
New York,3,2013 National Disaster Resilience,0.0013155439467429622,26.0,0
New York,4,"2020 Hurricanes Laura, Delta and Zeta (LDZ)/2021 Hurricane Ida and Wildfires (IDF)",0.0025219720149206207,1.0,1
"New York City, NY",1,2011-2013 Hurricane Sandy and Other Events,9.519478612118316e-05,2.0,1
"New York City, NY",2,2013 National Disaster Resilience,0.0011601071268634855,14.0,0
"New York City, NY",3,"2020 Hurricanes Laura, Delta and Zeta (LDZ)/2021 Hurricane Ida and Wildfires (IDF)",0.001706039892446302,4.0,0
North Carolina-NCORR,1,2015-2018 Mitigation,0.0005556068615246578,19.0,0
North Carolina-NCORR,2,2016 Louisiana Floods and Other Events,,27.0,0
North Carolina-NCORR,3,2018 Disasters,0.0011745632904381085,1.0,1
North Carolina-NCORR,4,"2020 Hurricanes Laura, Delta and Zeta (LDZ)/2021 Hurricane Ida and Wildfires (IDF)",0.0030002770522331522,7.0,0
Northern Mariana Islands,1,2015-2018 Mitigation,0.003954910659761882,8.0,0
Northern Mariana Islands,2,2018 Disasters,0.0012776510207747637,6.0,1
Oklahoma,1,2011-2013 Hurricane Sandy and Other Events,0.00039669316648067516,43.0,0
Oklahoma,2,2019 Disasters,0.004309758131021028,15.0,0
Pennsylvania,1,2011 Multiple Disasters,0.0004361304988208592,10.0,1
Pennsylvania,2,2011-2013 Hurricane Sandy and Other Events,0.0012289270411689464,9.0,1
Pennsylvania,3,"2020 Hurricanes Laura, Delta and Zeta (LDZ)/2021 Hurricane Ida and Wildfires (IDF)",0.004833779695264523,3.0,0
Puerto Rico,1,2008 Hurricane Ike and Other Events,,54.0,0
Puerto Rico,2,2015-2018 Mitigation,0.001439849270929858,5.0,1
Puerto Rico,3,"2017 Hurricanes Harvey, Irma and Maria",0.0003520810703682809,11.0,1
Puerto Rico,4,"2020 Hurricanes Laura, Delta and Zeta (LDZ)/2021 Hurricane Ida and Wildfires (IDF)",0.0018711405271991703,6.0,1
Puerto Rico,5,Electrical Power Systems in Puerto Rico and the U.S. Virgin Islands,0.0058005356343174275,5.0,1
