coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p),model
-1.2191607362816372e-13,0.9999999999998781,7.2517810387910044e-09,-1.4213351575874458e-08,1.42131077437272e-08,0.9999999857866485,1.0000000142131078,0.0,-1.681188014034263e-05,0.9999865860603986,1.9352353937688172e-05,capacity_only
-1.3677455063629456e-10,0.9999999998632254,2.1758876008463388e-08,-4.2783387871297186e-08,4.250983877002459e-08,0.999999957216613,1.0000000425098396,0.0,-0.006285919850965389,0.9949845946292674,0.007253906340638878,capacity_only
-1.3793667141434432e-13,0.9999999999998621,7.2517811308633435e-09,-1.4213367776930711e-08,1.4213091903587883e-08,0.9999999857866324,1.000000014213092,0.0,-1.902107481254369e-05,0.9999848233780781,2.189540333365341e-05,full_covariates
-1.4791859314288105e-10,0.9999999998520814,2.175805586442983e-08,-4.2792924461035865e-08,4.2497087274750096e-08,0.9999999572070765,1.0000000424970883,0.0,-0.006798336858059964,0.994575753764261,0.00784683401658102,full_covariates
0.004406074358889418,1.0044157953764492,0.05488316659949498,-0.10316295553363238,0.1119751042514112,0.9019799788762662,1.1184850147766965,0.0,0.08028097924892623,0.9360137857401614,0.0953983167106228,full_covariates
0.00042539229597632653,1.00042548278811,0.008684739095219893,-0.016596383545781638,0.01744716813773429,0.9835405776937856,1.017600259013845,0.0,0.0489815861262273,0.9609339704660221,0.05749079370520172,full_covariates
-7.742241697544523e-05,0.9999225805800626,0.015600234594637538,-0.03065332037284083,0.03049847553888994,0.9698117287720387,1.030968318376476,0.0,-0.004962900814456893,0.9960401943186117,0.005724132740504917,full_covariates
6.135233817411689e-05,1.0000613542202672,0.0016349871860711696,-0.0031431636617098636,0.0032658683380580975,0.9968617709057872,1.0032712070963707,0.0,0.037524659946445764,0.9700666781964119,0.04384417954928384,full_covariates
-0.0002539513037178087,0.999746080939185,0.005103914599238663,-0.010257440098393772,0.009749537490958155,0.9897949880277142,1.0097972190633824,0.0,-0.049756182001103606,0.960316685101268,0.05841785084124732,full_covariates
0.0004838597784720891,1.0004839768574971,0.01133829559722171,-0.021738791238151527,0.022706510795095704,0.978495793347378,1.0229662659298084,0.0,0.042674824829108546,0.9659607481583377,0.0499635285880587,full_covariates
0.07948097786571166,1.0827249635938954,0.41258021167386183,-0.7291613777489695,0.8881233334803927,0.4823132991998761,2.430564010435031,0.0,0.19264369840534215,0.8472380195066977,0.23916076367437936,velocity_pp_only_lag1
-0.024830317167289888,0.9754754194184602,3.7259747758139823,-7.327606685067397,7.277946050732818,0.0006571444602283863,1448.010827876286,0.0,-0.006664113060686359,0.9946828464336182,0.007691497688633487,velocity_pp_only_lag1
0.04555634350236208,1.0466099726241658,0.41588450055825443,-0.7695622993202447,0.8606749863249687,0.4632157738048935,2.364756333314626,0.0,0.10954085435069211,0.912773519625453,0.13167115652455788,velocity_pp_full_lag1
-0.33227920477239264,0.7172870249331401,3.7589542951389188,-7.699694242776818,7.035135833232033,0.00045296565923781126,1135.8491877798567,0.0,-0.08839671320348222,0.929561373555137,0.10537797379793405,velocity_pp_full_lag1
0.0003180456360062266,1.000318096217882,0.02995272362007252,-0.0583882138982181,0.05902430517023056,0.9432836805117063,1.0608010233762861,0.0,0.010618254287669902,0.9915280180403712,0.012274554993209227,velocity_pp_full_lag1
-0.00034565228999000104,0.9996544074408805,0.005219192204111734,-0.01057508103844122,0.009883776458461219,0.9894806385450384,1.0099327822981876,0.0,-0.06622716245584759,0.9471969717287888,0.07826362633481831,velocity_pp_full_lag1
0.00026345264711362593,1.00026348735381,0.010007786958844338,-0.01935144935717091,0.019878354651398165,0.9808345879755725,1.0200772448270592,0.0,0.026324765724634137,0.9789983015622574,0.03062173794892725,velocity_pp_full_lag1
1.3926622810366822e-05,1.0000139267197863,0.0010985102326395262,-0.002139113869811821,0.0021669671154325543,0.9978631724037719,1.002169316685513,0.0,0.012677736079802921,0.9898849010749168,0.014667309394050225,velocity_pp_full_lag1
0.00023293675911381005,1.0002329638909873,0.00281999317032757,-0.005294148291377153,0.0057600218096047736,0.994719841013649,1.0057766426320043,0.0,0.08260188768001596,0.934168100255262,0.09824591370697135,velocity_pp_full_lag1
-0.00026484381910526166,0.9997351912489231,0.007791655416520926,-0.01553620781543271,0.015006520177222187,0.9845838564757742,1.0151196833543785,0.0,-0.03399069965847101,0.9728845670145397,0.039659455836754044,velocity_pp_full_lag1
0.0019152795161044987,1.0019171148354464,0.010786274382891415,-0.01922542980172967,0.023055988833938668,0.9809582001029197,1.0233238326514473,0.0,0.1775663633350926,0.8590635428560516,0.21916324690800992,velocity_index_scaled_only_lag1
0.0009752399202416695,1.000975715621321,0.010877264268988477,-0.020343806297300142,0.022294286137783483,0.9798617327547279,1.0225446609153552,0.0,0.08965856635681071,0.9285585425370685,0.10693522472082563,velocity_index_scaled_full_lag1
0.00031664565855800376,1.0003166957960863,0.029952724600812025,-0.058389615797880434,0.05902290711499644,0.9432823581235599,1.0607995403188997,0.0,0.010571514370663277,0.991565309005477,0.012220296840351983,velocity_index_scaled_full_lag1
-0.0003450141014171537,0.9996550454091038,0.005219192633508324,-0.010574443691470226,0.009884415488635919,0.9894812691877273,1.0099334276759162,0.0,-0.06610487974750921,0.9472943258749339,0.0781153518675196,velocity_index_scaled_full_lag1
0.0002622782667685227,1.0002623126647203,0.01000778627945289,-0.01935262240593325,0.019877178939470292,0.9808334374094478,1.02007604551078,0.0,0.02620742084660715,0.9790918969370187,0.030483818272678865,velocity_index_scaled_full_lag1
1.381901928718766e-05,1.0000138191147703,0.0010985099746705512,-0.0021392209677250995,0.002166859006299475,0.997863065534714,1.0021692083418625,0.0,0.012579784986779073,0.9899630485077797,0.014553418916822535,velocity_index_scaled_full_lag1
0.000232289724025002,1.0002323167053722,0.0028199923804222583,-0.0052947937782799985,0.005759373226330003,0.9947191989352269,1.0057759903023076,0.0,0.08237246513063966,0.9343505312654343,0.09796420143493251,velocity_index_scaled_full_lag1
-0.000264717457307202,0.9997353175772674,0.007791652606659595,-0.015536075946407641,0.015006641031793238,0.984583986311896,1.0151198060362399,0.0,-0.033974494330117545,0.9728974895321102,0.03964029310272405,velocity_index_scaled_full_lag1
0.003204372407538268,1.0032095118969477,0.41065520046654863,-0.801665030570973,0.8080737753860495,0.4485814401533673,2.243582178559193,0.0,0.007803072757626726,0.9937741119001872,0.009010135128223656,velocity_pp_only_lag0
-0.7954749075489956,0.4513668265012614,3.7103921462958795,-8.067709882809192,6.4767600677112,0.00031350041227851187,649.8620227804535,0.0,-0.21439106061690164,0.8302421122030894,0.26839598356051464,velocity_pp_only_lag0
-0.034002604350040405,0.9665689873502474,0.4138381433248371,-0.8451104606956461,0.7771052519955652,0.42950991162667085,2.175166584093491,0.0,-0.08216401725770958,0.9345162867327533,0.09770828743504187,velocity_pp_full_lag0
-1.123799630026774,0.32504240441944887,3.742824742741889,-8.45960132624627,6.2120020661927215,0.0002118565154718257,498.6986802623356,0.0,-0.3002544087072348,0.7639831062672862,0.38838735816282705,velocity_pp_full_lag0
0.00013441586390157192,1.0001344248981185,0.029875120287725623,-0.05841974393384254,0.05868857566164569,0.9432539392125302,1.0604449409470358,0.0,0.004499257663467802,0.996410123887084,0.0051884149309623685,velocity_pp_full_lag0
4.152360454146847e-05,1.0000415244666583,0.005203601595762069,-0.01015734811304734,0.010240395322130278,0.9898940635314011,1.0102930076071455,0.0,0.007979781652631945,0.9936331229913733,0.009214827952458473,velocity_pp_full_lag0
0.00034137008915238455,1.000341428362552,0.00998888974860675,-0.0192364940636582,0.019919234241962968,0.9809473465844959,1.0201189460195301,0.0,0.0341749781751269,0.9727376194063146,0.03987738158568882,velocity_pp_full_lag0
4.2300779666611435e-05,1.0000423016743571,0.001097194049162502,-0.002108160040743562,0.0021927616000767852,0.9978940605678948,1.0021951674599652,0.0,0.03855359924609507,0.9692462972016924,0.045064776408414664,velocity_pp_full_lag0
9.517560061313918e-05,1.0000951801299542,0.0028124447567453937,-0.005417114831116346,0.005607466032342624,0.9945975312769463,1.0056232172977937,0.0,0.03384087825542853,0.973004038466175,0.03948230194363487,velocity_pp_full_lag0
-3.0040443604781835e-05,0.9999699600076049,0.007769954897066656,-0.01525887220335605,0.015198791316146487,0.9848569545104057,1.0153148803368133,0.0,-0.003866231400663963,0.9969152013420517,0.0044573022059912456,velocity_pp_full_lag0
-0.00024647682807473983,0.9997535535448432,0.010721879132933121,-0.0212609737752152,0.02076802011906572,0.9789634474425984,1.020985176143819,0.0,-0.022988211769489758,0.9816596761109974,0.026705140291131264,velocity_index_scaled_only_lag0
-0.0012776148904720798,0.998723200911968,0.010809619379419717,-0.022464079560720936,0.019908849779776774,0.977786359078075,1.020108352687913,0.0,-0.11819240304654138,0.9059152092571104,0.14255206990152136,velocity_index_scaled_full_lag0
0.00013450578481839656,1.0001345148311271,0.029875122255356053,-0.058419657869410495,0.05868866943904729,0.9432540203931483,1.0604450403928114,0.0,0.004502267259986934,0.9964077226008086,0.005191891740252801,velocity_index_scaled_full_lag0
4.090010398838275e-05,1.000040900940409,0.005203609420912813,-0.010157986950614059,0.010239787158590823,0.9898934311500882,1.010292393183961,0.0,0.007859948870107181,0.9937287327197987,0.009076015102880981,velocity_index_scaled_full_lag0
0.0003358127176183092,1.0003358691090212,0.009988843506974893,-0.01924196080325925,0.01991358623849587,0.9809419840154477,1.020113184400457,0.0,0.03361877852864766,0.9731811476314415,0.03921972208540089,velocity_index_scaled_full_lag0
4.174182763307773e-05,1.0000417426988353,0.0010971926403355629,-0.0021087162315270346,0.00219219988679319,0.9978935055485699,1.0021946045137848,0.0,0.038044210377050566,0.969652432741062,0.044460382039489425,velocity_index_scaled_full_lag0
9.466954142967698e-05,1.000094674022732,0.002812444482217852,-0.005417620352235713,0.005606959435095067,0.994597028487016,1.0056227078519688,0.0,0.033660945852706035,0.9731475220060479,0.03926957134648785,velocity_index_scaled_full_lag0
-3.0271215737283054e-05,0.9999697292424313,0.007769942933796213,-0.015259079527909346,0.015198537096434782,0.9848567503253985,1.0153146222237899,0.0,-0.0038959379747327493,0.9968914991037606,0.004491603526810818,velocity_index_scaled_full_lag0
0.11431402106812331,1.1211041199275478,0.4124829304821832,-0.6941376669144946,0.9227657090507412,0.49950500200757253,2.516239962897243,0.0,0.2771363676419114,0.7816753977032554,0.3553584634992585,velocity_pp_only_lag2
0.8040158878426985,2.234496421342361,3.7243929162094824,-6.49566009220399,8.103691867889387,0.0015099781594444354,3306.6532954548675,0.0,0.21587837425622355,0.8290825544881053,0.270412332103902,velocity_pp_only_lag2
0.1268420546263512,1.1352376980780974,0.41572069397730294,-0.6879555331971599,0.9416396424498623,0.5026025736580885,2.5641823155771997,0.0,0.3051136411151964,0.7602796021549033,0.39539800993756635,velocity_pp_full_lag2
0.9224314432190415,2.51539901041196,3.7565695892378317,-6.440309657105534,8.285172543543617,0.0015959124184701167,3964.6487541258175,0.0,0.24555153879265498,0.8060294071485731,0.3110956199387381,velocity_pp_full_lag2
0.000140954883716373,1.0001409648183228,0.0300182286697861,-0.05869369218875208,0.05897560195618482,0.9429955718332086,1.0607493602150757,0.0,0.004695642946388995,0.9962534327580878,0.005415304728255366,velocity_pp_full_lag2
-0.000373755827090551,0.9996263140109175,0.00523349096180263,-0.010631209625639593,0.009883697971458492,0.9894251019533465,1.0099327030315937,0.0,-0.07141615984788366,0.9430665487494456,0.08456851469409352,velocity_pp_full_lag2
0.0003282402988188963,1.0003282941755605,0.010023268614774965,-0.019317005193510713,0.019973485791148507,0.9808683725844823,1.020174290553955,0.0,0.03274783021728543,0.9738756813285798,0.03819047594508592,velocity_pp_full_lag2
2.434799144745534e-05,1.0000243482878621,0.0010995873429849364,-0.0021308035986591116,0.0021794995815540225,0.9978714649517643,1.0021818764172241,0.0,0.022142844406848442,0.982334009949497,0.02571444655332401,velocity_pp_full_lag2
0.00015834640020714565,1.0001583589376601,0.0028268364751401777,-0.005382151281251759,0.00569884408166605,0.9946323065452563,1.0057151133843234,0.0,0.05601540860240016,0.9553295321444742,0.06592963149153713,velocity_pp_full_lag2
-0.000369604034286061,0.9996304642608707,0.007810004974057051,-0.01567693250251656,0.014937724433944439,0.984445310969279,1.015049849843398,0.0,-0.04732443007575492,0.9622546575081065,0.05550934589714442,velocity_pp_full_lag2
0.003096564382269222,1.0031013636902661,0.010780569383360607,-0.018032963341952746,0.024226092106491192,0.9821286575819317,1.0245219280278772,0.0,0.2872356989834553,0.773931853617104,0.3697215553612581,velocity_index_scaled_only_lag2
