Model,N,N_Events,Velocity_HR,Velocity_p,Stage1_HR,Stage1_p,Interaction_HR,Interaction_p
Velocity_Only,143,106,4.437804758432355,0.012391136240198396,,,,
Additive,143,106,5.937883035471183,0.0039973724116085145,1.5834485473447204,0.14635443320828923,,
Interaction,143,106,3.2117231694659796,0.17814387943712914,1.2129134048155177,0.6106339004199969,7.162480407344765,0.19762853933794183
