Grantee,Disaster Type,Velocity_Trajectory_Cluster,Trajectory_Label
"New York City, NY","2020 Hurricanes Laura, Delta and Zeta (LDZ)/2021 Hurricane Ida and Wildfires (IDF)",0,Moderate
"New York City, NY",2013 National Disaster Resilience,0,Moderate
North Carolina-NCORR,"2020 Hurricanes Laura, Delta and Zeta (LDZ)/2021 Hurricane Ida and Wildfires (IDF)",0,Moderate
North Carolina-NCORR,2018 Disasters,1,Fast-Consistent
North Carolina-NCORR,2015-2018 Mitigation,0,Moderate
Northern Mariana Islands,2018 Disasters,0,Moderate
Northern Mariana Islands,2015-2018 Mitigation,0,Moderate
Ohio,2019 Disasters,0,Moderate
Oklahoma,2011-2013 Hurricane Sandy and Other Events,0,Moderate
Oklahoma,2019 Disasters,1,Fast-Consistent
"Orange County, FL",2022 Disasters including Hurricanes Fiona and Ian,0,Moderate
Oregon,"2020 Hurricanes Laura, Delta and Zeta (LDZ)/2021 Hurricane Ida and Wildfires (IDF)",0,Moderate
Pennsylvania,2011 Multiple Disasters,0,Moderate
Pennsylvania,2011-2013 Hurricane Sandy and Other Events,1,Fast-Consistent
Pennsylvania,"2020 Hurricanes Laura, Delta and Zeta (LDZ)/2021 Hurricane Ida and Wildfires (IDF)",0,Moderate
Puerto Rico,"2020 Hurricanes Laura, Delta and Zeta (LDZ)/2021 Hurricane Ida and Wildfires (IDF)",0,Moderate
Puerto Rico,2015-2018 Mitigation,1,Fast-Consistent
Puerto Rico,"2017 Hurricanes Harvey, Irma and Maria",0,Moderate
Puerto Rico,Electrical Power Systems in Puerto Rico and the U.S. Virgin Islands,0,Moderate
Rhode Island,2011-2013 Hurricane Sandy and Other Events,1,Fast-Consistent
"Richland County, SC",2015 Hurricane Joaquin and Patricia and Other Events,1,Fast-Consistent
"San Marcos, TX",2015-2018 Mitigation,0,Moderate
"San Marcos, TX",2015 Hurricane Joaquin and Patricia and Other Events,0,Moderate
"Sarasota County, FL",2022 Disasters including Hurricanes Fiona and Ian,0,Moderate
"Shelby County, TN",2013 National Disaster Resilience,0,Moderate
South Carolina,2018 Disasters,0,Moderate
South Carolina,2015-2018 Mitigation,0,Moderate
"Springfield, MA",2011-2013 Hurricane Sandy and Other Events,0,Moderate
"Springfield, MA",2013 National Disaster Resilience,0,Moderate
St. Tammany Parish,2011-2013 Hurricane Sandy and Other Events,1,Fast-Consistent
Tennessee,2011-2013 Hurricane Sandy and Other Events,0,Moderate
Tennessee,2013 National Disaster Resilience,0,Moderate
Texas - GLO,2011 Multiple Disasters,0,Moderate
Texas - GLO,2018 Disasters,0,Moderate
Texas - GLO,2019 Disasters,0,Moderate
"Town of Union, NY",2011 Multiple Disasters,0,Moderate
"Tuscaloosa, AL",2011 Multiple Disasters,0,Moderate
"Tuscaloosa, AL",2011-2013 Hurricane Sandy and Other Events,0,Moderate
Virgin Islands,2015-2018 Mitigation,0,Moderate
Virgin Islands,"2017 Hurricanes Harvey, Irma and Maria",0,Moderate
Virginia,2013 National Disaster Resilience,0,Moderate
"Volusia County, FL",2022 Disasters including Hurricanes Fiona and Ian,0,Moderate
Washington,"2020 Hurricanes Laura, Delta and Zeta (LDZ)/2021 Hurricane Ida and Wildfires (IDF)",0,Moderate
West Virginia,2015-2018 Mitigation,0,Moderate
West Virginia,2016 Louisiana Floods and Other Events,0,Moderate
Wisconsin,2018 Disasters,0,Moderate
rogco,2018 Disasters,0,Moderate
