Program_Type,N,N_Events,Velocity_HR,Velocity_p,Velocity_CI_lower,Velocity_CI_upper
Housing,50,30,0.02149183814644576,0.05526182141123011,0.00042364553557732945,1.09029617480463
Infrastructure,56,28,0.013086166919494163,0.16368095657611526,2.9293096430291438e-05,5.846011023531786
Administration,34,11,9.883778905409226,0.02556630667546887,1.322968359660717,73.84083280424431
