Model,N,CFI,RMSEA,Capacity_Beta,Capacity_SE,Capacity_p,Significant,Subset
duration_free_cv,156,0.9896905626506302,0.10536726292518704,0.360133531647141,0.23911483016228957,0.1320386215092506,False,all
duration_free_3x2,156,0.9672541003859386,0.09826037676382207,0.2792943493845408,0.2744856076005291,0.30890654912898574,False,all
duration_free_cv,94,0.9789536737526917,0.16287169289217857,0.32626049298764703,0.24290181995920065,0.179214193952824,False,state
duration_free_3x2,94,-4.8513678701231,1.4397609847288866,-0.2396073679515955,0.6933913529938512,0.7296744390049912,False,state
duration_free_cv,61,0.9679077346720929,0.1643727948249186,0.33738615169965586,0.4288932609810195,0.43149051108598413,False,local
duration_free_3x2,61,-2.1907188522497707,1.4521392647623133,0.05582213761151145,4.1011923688375465,0.9891401713174872,False,local
