Stage1_Quartile,Stage1_Min,Stage1_Median,Stage1_Max,N,N_Events,Velocity_HR,Velocity_CI_lower,Velocity_CI_upper,Velocity_p
Q4_High,0.9232826595998572,0.9685413481387419,1.0,38,35,1325105.8368171162,822.8332454542725,2133974883.0850742,0.00018278236559809998
Q3_Mid-High,0.679860300482595,0.8039424659837741,0.9205988699473504,28,27,2.254728697745099,0.12212997476385669,41.626156971415476,0.5847036001760616
Q2_Mid-Low,0.1479747377777869,0.38906544372105806,0.6662181549096088,38,32,20.911125641865524,0.49961068844362716,875.231826949245,0.11054579301661062
Q1_Low,0.0,0.04511833324925591,0.13699261412017327,39,12,27.867525773515087,2.3549958283182666,329.76661079357706,0.008305774544675803
