Grantee,state_level,z_avg_employment,z_avg_payroll,z_rev_programs_per_staff,z_rev_disasters_per_staff,z_Ratio_disbursed_to_obligated,z_Ratio_expended_to_disbursed,z_Ratio_obligated_funds_fully_expended,z_Ratio_Program_Completed,z_rev_Duration_of_completion,z_rev_Average_Duration_Program_Completion,z_E_TOTPOP,z_SPL_THEME1,z_SPL_THEME2,z_SPL_THEME3,z_SPL_THEME4
AK,1,1.441248670360386,3.1101165426461304,0.434221371587095,1.1518323197875198,-0.928616292332495,1.0265588007392041,-0.4223311779376701,-1.6946805390816864,0.46544931595183187,0.8814242014866592,0.05952254722184043,-1.1407222520249791,-0.9000450235482071,0.5233637210248809,0.56062838700119
AL,1,-0.22829272424289598,-0.17284387376191454,0.43422134040333216,1.151832287972831,0.37140472982426487,0.021682244728635162,0.3706706716727124,-0.1781487343205498,0.06896434879403175,0.10033694117910771,1.600363805879286,0.09285102768282563,-0.11673631093293267,0.299176405191121,-0.1467197843146202
AR,1,-0.04538091504051688,-0.01214136820921629,0.4342213685305694,1.1518323223666267,0.6937620911310415,-0.6613419811814666,-0.1685969926523062,0.44024287538787477,-2.8311259463947676,-1.9967233604040686,0.8950395892978557,0.015132521535162704,0.3273896291223578,0.08054012379535314,0.1162646469967062
"Acadia Parish, LA",0,-0.3298102988639643,-0.346386498165212,-0.419261541698023,-1.5238429539843306,-0.0635316525579822,0.036332766347721056,0.6706575083262398,0.18033915536549355,-0.08464850315285632,-0.8460886860183857,-0.18900042890887972,1.1110988231628818,1.235341479750152,0.042201018146268525,0.6235286968530581
"Adams County, CO",0,-0.3298102988639643,-0.346386498165212,0.21157365742408432,0.2599405691294903,0.7743270578320662,0.21793059106977847,0.6706575083262392,0.44024287538787477,1.1985787704012887,1.0474112958644,-0.032011234286539035,-0.23538978029488694,-0.10266806765777808,1.3135612362703666,-0.09397808085857666
"Adams County, IL",0,-0.3298102988639643,-0.346386498165212,0.1744657045345486,-0.63195119242742,0.2290184317663979,0.019671532975783123,0.6706575083262392,0.44024287538787477,0.8325154997117515,0.30741656478388824,-0.1870974659195621,-1.390299700812718,-0.2367695947869637,-1.2630511173660535,-0.4784970202429062
"Adams County, IN",0,-0.3298102988639643,-0.346386498165212,0.28578956320315574,0.2599405691294903,0.8537534764433484,0.068289037426443,0.6706575083262385,0.44024287538787477,0.09938604526229433,0.385445410191146,-0.21188266228681427,0.17449856837822916,-0.7969132150024386,-0.6941313937748839,0.6191699170196328
"Adams County, MS",0,-0.3298102988639643,-0.346386498165212,0.32289751609269146,0.2599405691294903,0.7199692073132407,-0.0024241198797390062,0.6706575083262392,0.44024287538787477,0.6489824078317915,-0.14438824171754916,-0.21188266228681427,1.6230708430844047,0.939701561320522,1.149455076466063,1.3492368629354836
"Alachua County, FL",0,-0.3298102988639643,-0.346386498165212,0.32289751609269146,0.2599405691294903,-0.8559501563135471,0.036332766347721056,-0.8207904011755351,0.44024287538787477,0.7412504103069627,1.0687612079628026,-0.21188266228681427,-0.24628534481642397,-3.0419192118470484,0.6064758564275528,1.3075130165036686
"Allegany County, MD",0,-0.3298102988639643,-0.346386498165212,0.3600054689822272,0.2599405691294903,1.1345279669810246,0.036332766347721056,0.6706575083262392,0.44024287538787477,1.1975758573309063,0.9366289741982433,-0.18498162615464886,0.03815462112060074,-0.7226949560223191,-0.7777393293528018,0.3964420027681527
"Allen County, IN",0,-0.3298102988639643,-0.346386498165212,0.32289751609269146,0.2599405691294903,1.180342151739026,-0.008547884384835086,0.6706575083262392,0.44024287538787477,-1.5504059555165788,0.6787694802986458,-0.21188266228681427,-0.6773075032836005,0.15239457833879766,0.4748051669227819,-0.49636228232333196
"Allen Parish, LA",0,-0.3298102988639643,-0.346386498165212,-0.19661382436080865,-2.415734715541241,0.2994375562656741,0.006218457947448229,0.6706575083262392,0.44024287538787477,-0.5419768632471823,0.06626422432002481,-0.21188266228681427,0.6224915147290435,0.27142895112674414,0.5132632427512306,1.28167577551737
"Amite County, MS",0,-0.3298102988639643,-0.346386498165212,0.3971134218717629,0.2599405691294903,-0.41597659400199727,0.03773951593851353,0.6706575083262392,0.44024287538787477,0.8325154997117515,0.15878051007976976,-0.21188266228681427,1.3769944187716587,0.8077965247218996,-0.17284142632744354,-0.904223634762986
"Anchorage County, AK",0,-0.3298102988639643,-0.346386498165212,0.13735775164501288,0.2599405691294903,-1.9416128070059373,0.011986679115094642,-2.394202998003236,0.44024287538787477,1.0150456785213289,1.1825087951981819,-0.21188266228681427,-1.525169659451345,-0.7404980897963673,0.9189034386695181,0.7552957582648713
"Anderson County, TX",0,-0.3298102988639643,-0.346386498165212,0.10024979875547714,-0.63195119242742,0.031755345060536684,0.031207735022211535,-0.4534109439239011,-0.22395552022487797,0.41981677124943734,-0.6050125952405888,-0.21188266228681427,0.4446567797230376,-1.3126646055475597,0.916305451970769,1.8610493791657408
"Angelina County, TX",0,-0.3298102988639643,-0.346386498165212,-0.3079376830294158,-0.63195119242742,-0.399745562936143,-0.0038540120468250863,0.36510845615154586,0.44024287538787477,0.007619499322314719,-1.7663410638332064,-0.17945839059653673,0.948561699770296,1.8406480280677548,1.041166267250032,1.4407425632543285
"Aransas County, TX",0,-0.3298102988639643,-0.346386498165212,-0.011074059913130024,-1.5238429539843306,-0.44816936030626425,0.02925231997645439,0.3408492392547098,-1.0542035147408182,-0.5881108644847676,-0.665167949421551,-0.20287682483375996,0.16922009562099438,0.052165247286207264,0.6810695654295089,0.7390076862557509
"Ascension Parish, LA",0,-0.3298102988639643,-0.346386498165212,-0.419261541698023,-1.5238429539843306,-0.6235332604008547,0.03596125983894829,-0.7535210447450509,0.44024287538787477,-1.365368494031045,-0.29315690457134663,-0.16806249079932004,-1.3112620408100488,0.07439989704297262,0.3107777339881384,-0.9585650017652467
"Ashley County, AR",0,-0.3298102988639643,-0.346386498165212,0.21157365742408432,0.2599405691294903,0.022230134490562554,-0.9007120012133257,0.6706575083262385,0.44024287538787477,-0.9085415904719107,-1.3580121338889766,-0.20416894024627338,0.7469041216788087,1.2847047143054644,0.3773019388500409,-0.5464308980415095
"Assumption Parish, LA",0,-0.3298102988639643,-0.346386498165212,-0.419261541698023,-1.5238429539843306,0.8565536472085045,0.03322851264527465,0.6706575083262398,0.44024287538787477,-2.098999405015693,-0.7281381571501088,-0.20345168535857291,0.5865978999798465,0.6409017793206053,0.34766127242340605,-0.19681087350770807
"Atlantic County, NJ",0,-0.3132065959052484,-0.3302442616239379,0.4342172284110477,1.1518307735338307,1.2627631903242866,0.03519131506685328,0.2246238006911276,0.44024287538787477,-2.5553248520396377,0.8771160942239457,-0.11056941493827413,0.02098464558574676,-0.041590216939455575,1.1819692736352534,1.1023636025014683
"Austin County, TX",0,-0.3298102988639643,-0.346386498165212,-0.2708297301398801,-2.415734715541241,-0.8291187460053245,0.02005782956855431,-0.28025349032359564,-0.818238295246814,0.0765697729110975,-0.8041479698073025,-0.20097609938135375,-0.6353785027025477,0.2508898379198889,0.9596052302832498,-0.7397944007835889
"Avoyelles Parish, LA",0,-0.3298102988639643,-0.346386498165212,-0.04818201280266575,-0.63195119242742,-0.6054737371766475,0.031425312129023664,-0.6603139132869946,-0.019586783113260564,-0.5419768632471823,-0.5994972012818347,-0.1966086759455707,1.3710187892351668,1.1872498976072716,0.09597147012340321,1.4377315640272905
"Bandera County, TX",0,-0.3298102988639643,-0.346386498165212,0.3971134218717629,0.2599405691294903,-0.9741360050428294,-0.026117084609941995,-1.277302025402696,-5.537542685126898,0.7402474972365803,1.5880859586941727,-0.21188266228681427,-0.5869958222220828,-0.32844417324682956,-0.009404444915243133,-0.9788964155935324
"Bartholomew County, IN",0,-0.3298102988639643,-0.346386498165212,-0.1223979185817372,0.2599405691294903,1.186129611517552,0.05809812787427191,0.6706575083262392,0.44024287538787477,-1.2736019480910656,0.5570275370886426,-0.21188266228681427,-1.4256555089036296,-0.38690164929710974,0.13860207004378267,-0.6802626446375771
"Bastrop County, TX",0,-0.3298102988639643,-0.346386498165212,-0.5676933532561659,-2.415734715541241,-0.6818990438543637,0.027648052891755676,0.030494947886399205,-0.6667544506333796,-0.42714331668840955,-1.3953636972772936,-0.18117035494894757,0.07651816274487988,-0.38285548253028107,1.2444784081445448,0.4839330374509472
"Bay County, FL",0,-0.24080273964934598,-0.3331939613617217,0.43422002032169543,1.151831438795085,-1.0430417958815659,0.02564967526420389,-2.156976479903485,-0.21485691206579882,0.8315125866413691,1.2462245969708252,-0.14589024031412404,-0.36392557162483213,0.0030717571820165156,0.17028963508155268,0.4897256264401068
"Beauregard Parish, LA",0,-0.3298102988639643,-0.346386498165212,0.0260338929764057,-1.5238429539843306,0.45786440790964816,0.036332766347721056,0.6706575083262392,0.44024287538787477,0.46444640288144967,-0.2315993978043583,-0.21188266228681427,-0.05630016308621792,0.4782844102156733,-0.3917414874144495,-0.07037758215522096
"Bee County, TX",0,-0.3298102988639643,-0.346386498165212,0.24868161031362004,-0.63195119242742,-1.0117703275783725,0.2596627584563294,-0.87769200205204,0.44024287538787477,0.2824176806070634,0.0022144880248164242,-0.19986578384288917,1.3670748737410827,-0.41429997854677947,1.3526491270560865,1.4640849763096522
"Benton County, AR",0,-0.2926829468825843,-0.3118645467194049,0.43422121804337754,1.1518315773415686,-0.3888594493036302,-0.5831197095127528,-1.4266217163876524,0.44024287538787477,-2.2805266707548886,-1.790039466262433,-0.11823111424562563,-1.4791772307854776,-0.7198433718247448,0.6650092840190617,-0.9880441180071058
"Benton County, IA",0,-0.3298102988639643,-0.346386498165212,0.1744657045345486,0.2599405691294903,-1.308064720606566,0.036332766347721056,-1.0505127713898237,0.44024287538787477,1.0150456785213289,0.8645476043041123,-0.21188266228681427,-2.3683309870503826,-1.2391785100776294,-1.6111419715635702,-2.753579360009821
"Benton County, IN",0,-0.3298102988639643,-0.346386498165212,0.28578956320315574,0.2599405691294903,1.2731158220865983,0.11034740451976627,0.6706575083262392,0.44024287538787477,-1.365869950566237,1.2301902655512813,-0.21188266228681427,-0.8330722465348281,0.9652887492555153,-0.931099271448643,-2.395385156724739
"Bergen County, NJ",0,1.1509993782642485,1.122982203813356,0.434221360709811,1.1518323255693053,0.1020061982578862,-0.04050042707776031,0.6706575083262406,0.44024287538787477,-0.3589452279024134,0.9575044438055704,0.13380218437621635,-1.7285800888735368,-2.1578125058341424,1.1683888886190663,-0.09681702298692642
"Bladen County, NC",0,0.2921326365143284,0.3019812260592297,0.4342213185979317,1.1518316557415393,-1.2904219828089813,-0.2602139884544313,-0.6197897009112037,0.44024287538787477,0.5572158618918117,0.4832991739754919,-0.19940267585603855,1.3138917708663025,1.2181549047215268,0.976452780390288,0.44625253283829824
"Blanco County, TX",0,-0.3298102988639643,-0.346386498165212,0.3971134218717629,0.2599405691294903,-1.473560951498995,0.036332766347721056,-1.6980612846881462,0.44024287538787477,1.1985787704012887,0.9387639654080839,-0.20776509713946759,-1.2265873702779553,-0.8478949162644824,0.49369961564095544,-1.6437823972897863
"Blount County, AL",0,-0.3298102988639643,-0.346386498165212,0.3971134218717629,0.2599405691294903,0.8917554135933683,0.030001181329234086,0.6706575083262392,0.44024287538787477,1.3821118622812483,1.069710092944954,-0.21188266228681427,0.21736375091999932,-0.06883440650277094,-0.07411793177498699,-1.3154114244439392
"Boone County, AR",0,-0.3298102988639643,-0.346386498165212,0.3600054689822272,0.2599405691294903,0.4864479621379584,-0.6297989772006849,0.6706575083262392,0.44024287538787477,1.016048591591711,0.6797183652807971,-0.21188266228681427,-0.21067059277893116,0.2910817611370563,-1.6020096546831197,-0.6721759609992458
"Boone County, MO",0,2.3411101297192873,1.6708284677627512,0.43422137412967393,1.1518323155052645,-1.699532880075367,0.036332766347721056,-2.1272500312781033,0.44024287538787477,0.8325154997117515,0.41924943768028367,-0.14728186396539034,-1.031124528139299,-2.7020026685118332,0.07739192888386669,0.2965055046136
"Bosque County, TX",0,-0.3298102988639643,-0.346386498165212,0.3600054689822272,-0.63195119242742,-0.3563578955631731,0.18210332130521775,0.6706575083262392,0.44024287538787477,0.6033498631293972,-0.29597261761620874,-0.2051062817507284,-0.21519215246154344,0.5638319361429125,0.44016534427279735,-0.6095185008937382
"Bossier Parish, LA",0,-0.3298102988639643,-0.346386498165212,0.32289751609269146,0.2599405691294903,-1.977896621377605,0.036332766347721056,-2.4227943580548765,0.44024287538787477,1.0150456785213289,1.198284008026446,-0.16573750348699673,-0.46019296345772026,0.0626852808799625,0.38426926681486734,0.4918189878074754
"Boulder County, CO",0,-0.3298102988639643,-0.346386498165212,-6.3936419569132745,-0.63195119242742,0.832777457102359,0.4802683647450503,0.6604172893054814,0.3427789803794827,-0.9998066798766994,0.5109164451687108,-0.21188266228681427,-1.6592229487199848,-3.273514090596017,0.40465952605656275,-0.05678507135887688
"Bradford County, PA",0,-0.3298102988639643,-0.346386498165212,0.21157365742408432,0.2599405691294903,0.3372966569825652,0.035293785057007296,0.6706575083262398,0.44024287538787477,0.46544931595183187,0.13719337673582913,-0.21188266228681427,-0.8375141311569541,-0.35229728971032576,-1.6181092995283968,-0.1792323732584284
"Bradley County, AR",0,-0.3298102988639643,-0.346386498165212,0.21157365742408432,0.2599405691294903,0.3562448426072529,-0.8776372673281653,0.6706575083262392,0.44024287538787477,-0.9998066798766994,-1.1618301638292095,-0.21188266228681427,1.0460839738058478,1.6833099432204934,1.0537625663954806,0.8488374675848567
"Brazoria County, TX",0,-0.3298102988639643,-0.346386498165212,-3.4250057257504163,-2.415734715541241,-0.786272484352272,0.06930367040556261,-0.748591199036012,0.037891924199379944,-0.47327731792599487,-1.7518678777175638,-0.21188266228681427,-1.1104410508536706,-0.5777265810050785,1.2328661948698336,0.5789659082928934
"Breathitt County, KY",0,-0.3298102988639643,-0.346386498165212,0.32289751609269146,0.2599405691294903,-1.4427789466009078,-0.497471364149794,-2.254783036017639,-3.5449474982886398,1.1985787704012887,1.327332365599014,-0.2068582109985285,1.3793249142908905,-0.352374359553504,-1.8966056009473078,1.2419879380866956
"Brevard County, FL",0,0.6914209471763088,0.4577862003019656,0.4342213727599709,1.1518323066353873,0.4806570292374141,0.036332766347721056,0.28395206114389426,0.44024287538787477,1.2898438598060773,1.2632826293038055,0.0014098600977540962,-0.7603687538408416,-0.5375346577879121,0.2832626930422984,-0.7953114912935488
"Brooks County, TX",0,-0.3298102988639643,-0.346386498165212,0.21157365742408432,0.2599405691294903,0.5148270565305115,-0.17171457862562714,0.6706575083262426,0.44024287538787477,-1.365869950566237,-3.1122632446410696,-0.20920352260446343,1.6129720291677334,1.8084328336194784,1.6097317199277352,1.1965361878499763
"Broome County, NY",0,-0.3298102988639643,-0.346386498165212,-3.387897772860881,-0.63195119242742,1.2519512254647491,0.007341185473563367,0.605758920703272,0.44024287538787477,-0.9531712221039225,-0.6734613902214321,-0.21188266228681427,-0.3482096659438579,-0.7039284492085506,-0.10411286911508774,0.8866040007468493
"Broward County, FL",0,-0.3298102988639643,-0.346386498165212,-0.04818201280266575,0.2599405691294903,-0.835244478850455,0.026349313989853188,-2.4354950365448853,-0.019586783113260564,1.1985787704012887,1.458278493135884,-0.21188266228681427,-0.21865801759270875,-0.7962195864138385,1.4557419628746215,0.19364403578135375
"Brown County, IN",0,-0.3298102988639643,-0.346386498165212,-0.08528996569220147,0.2599405691294903,1.1343271432360391,0.060149695369066544,0.6706575083262392,0.44024287538787477,0.8315125866413691,0.8918958250396853,-0.21188266228681427,-1.2426618137311196,-1.2877325112795759,-1.7672573540974785,-2.0991601851504136
"Bureau County, IL",0,-0.3298102988639643,-0.346386498165212,0.3600054689822272,0.2599405691294903,-0.365979159421947,-0.06358699518453981,0.6706575083262392,0.44024287538787477,0.46645222902221406,-0.03621535375230854,-0.1992823460932493,-1.0711811647989171,-0.013652398787542588,-0.37776746804996697,-1.6471948630804298
"Burleson County, TX",0,-0.3298102988639643,-0.346386498165212,-0.2708297301398801,-2.415734715541241,-0.37433653282237944,0.049681907184920666,-0.5541734373328304,0.1256225827292029,0.4193153147142463,-0.1880369508965062,-0.21188266228681427,-0.3834459614440397,0.16792415173910188,0.8197863097687663,-0.32938086804673056
"Butler County, MO",0,-0.3298102988639643,-0.346386498165212,0.28578956320315574,-0.63195119242742,-0.5148021051334187,-0.16197594998389478,0.6706575083262392,0.44024287538787477,0.9694131338189345,0.19258453756890775,-0.21188266228681427,1.088570699810306,1.0629362405616525,-1.1631073563338816,0.13715195504549554
