,Value
DoF,98.0
DoF Baseline,126.0
chi2,469.8199422978275
chi2 p-value,0.0
chi2 Baseline,4506.238794290796
CFI,0.9151142301231482
GFI,0.8957401141517248
AGFI,0.8659515753379319
NFI,0.8957401141517248
TLI,0.8908611530154762
RMSEA,0.08144328589840288
AIC,74.36013981745958
BIC,239.6937970526197
LogLik,0.819930091270205
