,Value
DoF,101.0
DoF Baseline,126.0
chi2,741.720473303338
chi2 p-value,0.0
chi2 Baseline,4506.238794290796
CFI,0.8537247617325217
GFI,0.8354014274070285
AGFI,0.7946592064681741
NFI,0.8354014274070285
TLI,0.8175180195871062
RMSEA,0.10531145169144186
AIC,67.41109782442116
BIC,219.69209790943705
LogLik,1.2944510877894206
